Address,CityOrCounty,State,Month,Day ,Year,Latitude,Longitude,StateAbr
11810 Fountain Way,Newport News,Virginia,2,27,2017,37.08552697,-76.47165087,VA
1700 block of Grant St,Gary,Indiana,2,26,2017,41.59560282,-87.3452059,IN
1564 Niles Cortland Rd SE,Warren,Ohio,2,25,2017,41.23899134,-80.81849803,OH
3604 Moncrief Rd,Jacksonville,Florida,2,25,2017,30.3603164,-81.6765256,FL
191 Genesee St,Rochester,New York,2,22,2017,43.1463236,-77.6362896,NY
16700 Lorain Ave,Cleveland,Ohio,2,21,2017,41.4509636,-81.813961,OH
Butts Road,Toomsuba,Mississippi,2,21,2017,32.42669397,-88.5100102,MS
1082 East 105th Street,Cleveland,Ohio,2,20,2017,41.47926574,-81.68021483,OH
Church Street and East Virginia Beach Blvd,Norfolk,Virginia,2,19,2017,36.92334179,-76.24561422,VA
1 block of N Conestoga,Philadelphia,Pennsylvania,2,18,2017,40.00763806,-75.1339627,PA
1000 block of Yukon St,South Bend,Indiana,2,18,2017,41.67725366,-86.26911678,IN
30 Soledad Street,Salinas,California,2,15,2017,36.6787592,-121.6527391,CA
3949 South Albany Avenue,Chicago,Illinois,2,15,2017,41.83861021,-87.68661087,IL
908 Truman Blvd,Caruthersville,Missouri,2,12,2017,36.18146297,-89.66640481,MO
253 South William Street,Newburgh,New York,2,12,2017,41.49650453,-74.01917251,NY
Church Ave and Obadiah St,Greenville,Florida,2,12,2017,30.46683052,-83.6352528,FL
Clifton Road and Midway Drive,Savannah,Tennessee,2,11,2017,35.22104141,-88.23565846,TN
100 block of North Mayfield,Chicago,Illinois,2,11,2017,41.83861021,-87.68661087,IL
2nd St and Dryades St,New Orleans,Louisiana,2,10,2017,30.06880013,-89.9308814,LA
3150 Robinson Road,Jackson,Mississippi,2,9,2017,32.31702909,-90.21275137,MS
16379 Euclid Ave,Cleveland,Ohio,2,8,2017,41.47926574,-81.68021483,OH
5500 block of Fairfield Road,Columbia,South Carolina,2,7,2017,34.0297833,-80.8965664,SC
25 Par Drive,Little Rock,Arkansas,2,7,2017,34.72552519,-92.35834404,AR
11th Street,Yazoo City,Mississippi,2,6,2017,32.60010548,-89.72682633,MS
1576 S White Station Rd,Memphis,Tennessee,1,31,2017,35.0879367,-89.8904134,TN
2900 block of Martin Luther King Jr Ave,Washington,District of Columbia,1,31,2017,38.90477236,-77.01628888,DC
5410 Lakeland Ave N,Minneapolis (Crystal),Minnesota,1,30,2017,46.36813604,-93.71317296,MN
6363 Hearne Ave,Shreveport,Louisiana,1,29,2017,30.8956711,-91.67752985,LA
221 Morgan St,Brownsville,Tennessee,1,27,2017,35.58810404,-89.25745831,TN
1510 Maryland Drive,Albany,Georgia,1,26,2017,31.57760367,-84.17632408,GA
500 block of E 75th St,Chicago,Illinois,1,25,2017,41.83861021,-87.68661087,IL
1800 block of W 63rd,Chicago (Englewood),Illinois,1,22,2017,40.10756121,-89.1611563,IL
200 block of Oak Shore Dr,Manvel,Texas,1,22,2017,29.47617021,-95.35448477,TX
2841 Greenbriar Pkwy SW,Atlanta,Georgia,1,22,2017,33.6867742,-84.4977293,GA
6510 Tara Blvd,Jonesboro,Georgia,1,21,2017,33.52104092,-84.35433905,GA
500 NE 2nd St,Boynton Beach,Florida,1,21,2017,26.52822978,-80.08113178,FL
500 block of Delta Road,Memphis,Tennessee,1,21,2017,35.10520292,-89.97735447,TN
Smart Road,Como,Mississippi,1,20,2017,34.51343985,-89.93906889,MS
4700 block of E Montecito Ave,Fresno,California,1,20,2017,36.7826736,-119.794492,CA
8535 Martin Luther King Boulevard,Houston,Texas,1,16,2017,29.65892473,-95.33615253,TX
6011 NW 32nd Ave,Miami,Florida,1,16,2017,25.77525637,-80.20885121,FL
County Road Y,Capulin,Colorado,1,15,2017,37.28188559,-106.1049465,CO
6000 block of Church Road,Magnolia,Mississippi,1,15,2017,31.16194801,-90.46700056,MS
8607 E 61st Terrace,Kansas City,Missouri,1,12,2017,38.30885939,-92.50820581,MO
500 block of Sunrise St,Salinas,California,1,12,2017,36.68891743,-121.631812,CA
Hawkins Street and Christie Street,Newark,New Jersey,1,11,2017,40.72417185,-74.17242155,NJ
4200 block of S Talman,Chicago,Illinois,1,11,2017,41.83861021,-87.68661087,IL
2500 block of Churchill Ave,Flint,Michigan,1,7,2017,43.02363394,-83.69206403,MI
100 block of W Claremont St,Pasadena,California,1,6,2017,34.15976348,-118.1389217,CA
100 Terminal Dr,Fort Lauderdale,Florida,1,6,2017,26.14083882,-80.1436977,FL
14520 Village Drive,Fontana,California,1,4,2017,34.0441914,-117.4862138,CA
500 block of Hawthorne Drive,Allen,Texas,1,3,2017,33.10880491,-96.6725949,TX
114 North Greyer Street,Winstonville,Mississippi,1,1,2017,33.91229227,-90.75288358,MS
9220 Skillman Street,Dallas,Texas,1,1,2017,32.9021858,-96.7143019,TX
8000 block of NW 14th Ave,Miami,Florida,1,1,2017,25.77525637,-80.20885121,FL
